,Entity,mortality_rate,agriculture_land,hapiness_rate,literacy_rate,maternal_mortality,life_expectancy,birth_rate,terrorist_incidents,health_expenses,inflation_rate,basic_sanitation,gdp,population_density
125,Namibia,4.087400054931641,47.1389182426605,,90.820503,265.0,63.782001,29.587,0.0,9.86479841,3.3956606554032795,33.8367672410459,11650656642.2655,2.94618056820804
126,Nepal,3.5280998229980467,28.7478200209278,4.812436581,64.66364300000001,258.0,69.887001,19.973,48.0,6.21927182,7.86890895590905,46.12659059884971,21410840908.5198,199.90430415068002
127,Netherlands,0.3525000095367432,54.5265657465123,7.324437141000001,,7.0,81.709999,10.1,3.0,10.39499588,0.6002481472787751,97.7269662736924,765264949780.999,502.81754229741796
129,New Zealand,0.5079999923706054,41.1682047776385,7.418120861,,11.0,81.728996,13.27,0.0,9.30662416,0.29270462813610104,100.0,177620948761.31,17.4535718354791
130,Nicaragua,2.143400001525879,42.0890809373442,5.924112797,82.471848,150.0,75.149002,19.925,0.0,7.91558655,3.99737996694398,76.3491852264727,12611087031.4931,50.540427123151105
131,Niger,11.017099761962893,36.063787795058,3.6714537139999996,19.1026,553.0,59.667,48.438,41.0,7.09101535,-0.576090369833086,12.9373277283546,7217667780.59665,15.707716902186801
132,Nigeria,11.20830001831055,77.73642083072559,4.932914734,59.56808100000001,814.0,52.985001000000004,39.372,638.0,3.57255253,9.00938718326781,32.600957001043604,494583180777.234,198.932490090802
134,Norway,0.2506999969482422,2.7005692791994704,7.603433609,,5.0,82.015999,11.3,0.0,10.10889268,2.17113665389528,98.058581,386663139402.70703,14.210294459883098
135,Oman,1.0237000465393071,4.63327948303716,,93.971649,17.0,76.80100300000001,19.590999999999998,0.0,4.30537627,0.0652901330286481,99.31807583294491,68921456436.9311,13.5696607431341
136,Pakistan,8.284999847412111,46.961913657119105,4.823194981,56.440311,178.0,66.321999,28.726999999999997,1243.0,2.68711914,2.5293281725422596,58.2514042303625,270556126820.064,245.667954804898
